date,ticker,action,price,size,reason,pnl_pct
2024-06-19,PERSISTENT.NS,BUY,3838.461354646728,1,Golden Cross,
2024-06-20,HDFCBANK.NS,SELL,823.7651872236406,-6,RSI Overbought,11.20905491968305
2024-06-20,BAJFINANCE.NS,BUY,713.9879433741868,6,Golden Cross,
2024-06-26,HDFCBANK.NS,BUY,842.5857736709852,5,RHS Breakout (Neckline: ₹716.61),
2024-06-27,HDFCBANK.NS,SELL,836.7397746618053,-5,RSI Overbought,-0.6938164863275553
2024-06-28,INFY.NS,SELL,1533.2729807577389,-3,RSI Overbought,4.833174107488507
2024-07-01,PERSISTENT.NS,SELL,4210.405157298752,-1,RSI Overbought,9.689919170392574
2024-07-02,PERSISTENT.NS,BUY,4459.359360248792,1,RHS Breakout (Neckline: ₹3813.02),
2024-07-03,PERSISTENT.NS,SELL,4507.910955956819,-1,RSI Overbought,1.0887571910176408
2024-07-04,HDFCBANK.NS,BUY,868.1404005851939,5,RHS Breakout (Neckline: ₹716.61),
2024-07-05,LALPATHLAB.NS,SELL,2898.094695028358,-1,RSI Overbought,4.908766419437238
2024-07-05,COFORGE.NS,SELL,1171.9910451085211,-4,RSI Overbought,13.874535106303048
2024-07-05,MPHASIS.NS,SELL,2492.2259068486337,-2,RSI Overbought,8.2062403242234
2024-07-09,TITAN.NS,SELL,3160.4884984373452,-1,Stop Loss,-11.53345052885535
2024-07-09,LALPATHLAB.NS,BUY,2905.1747705237462,1,RHS Breakout (Neckline: ₹2570.43),
2024-07-09,PERSISTENT.NS,BUY,4560.354961217288,1,RHS Breakout (Neckline: ₹3813.02),
2024-07-10,LALPATHLAB.NS,SELL,2904.6793636297775,-1,RSI Overbought,-0.017052567680098923
2024-07-10,PERSISTENT.NS,SELL,4649.915910248068,-1,RSI Overbought,1.963903024927546
2024-07-11,LALPATHLAB.NS,BUY,2931.8594904289675,1,RHS Breakout (Neckline: ₹2570.43),
2024-07-12,LALPATHLAB.NS,SELL,2917.403341627889,-1,RSI Overbought,-0.4930709963513116
2024-07-15,INFY.NS,BUY,1683.0852986626521,2,RHS Breakout (Neckline: ₹1424.24),
2024-07-15,PERSISTENT.NS,BUY,4845.837289044576,1,RHS Breakout (Neckline: ₹3813.02),
2024-07-15,COFORGE.NS,BUY,1190.9513371507476,4,CWH Breakout (Handle: ₹1090.22),
2024-07-15,MPHASIS.NS,BUY,2661.763259020819,1,RHS Breakout (Neckline: ₹2417.83),
2024-07-16,INFY.NS,SELL,1675.6750916039832,-2,RSI Overbought,-0.44027519369083157
2024-07-16,LALPATHLAB.NS,BUY,2975.4768816417977,1,RHS Breakout (Neckline: ₹2570.43),
2024-07-16,PERSISTENT.NS,SELL,4771.285423167612,-1,RSI Overbought,-1.5384723305817638
2024-07-16,MPHASIS.NS,SELL,2657.890719324658,-1,RSI Overbought,-0.14548775827589736
2024-07-18,LALPATHLAB.NS,SELL,2958.6438544511975,-1,RSI Overbought,-0.5657253563103518
2024-07-19,TCS.NS,SELL,4177.6394283231275,-1,RSI Overbought,8.93388114126104
2024-07-22,INFY.NS,BUY,1755.1882696669777,2,RHS Breakout (Neckline: ₹1424.24),
2024-07-22,LALPATHLAB.NS,BUY,2962.0102891303227,1,RHS Breakout (Neckline: ₹2570.43),
2024-07-22,PERSISTENT.NS,BUY,4556.031599441981,1,RHS Breakout (Neckline: ₹3813.02),
2024-07-22,MPHASIS.NS,BUY,2811.814935273007,1,RHS Breakout (Neckline: ₹2627.71),
2024-07-23,INFY.NS,SELL,1764.7923545401895,-2,RSI Overbought,0.5471826036664472
2024-07-23,LALPATHLAB.NS,SELL,3039.7887890259685,-1,RSI Overbought,2.6258686602497394
2024-07-23,MPHASIS.NS,SELL,2868.433533156295,-1,RSI Overbought,2.0135961713920887
2024-07-24,COFORGE.NS,SELL,1214.4543728731555,-4,RSI Overbought,1.9734673440677288
2024-07-25,TITAN.NS,BUY,3404.7534017000667,1,RHS Breakout (Neckline: ₹3520.55),
2024-07-29,MPHASIS.NS,BUY,2980.4455058256135,1,RHS Breakout (Neckline: ₹2627.71),
2024-07-31,BAJFINANCE.NS,SELL,678.5082424088558,-6,Death Cross,-4.969229704028314
2024-08-05,ASIANPAINT.NS,SELL,3036.6799159149523,-1,RSI Overbought,5.862480677426815
2024-08-06,LALPATHLAB.NS,BUY,3168.561360766985,1,CWH Breakout (Handle: ₹2401.81),
2024-08-06,MPHASIS.NS,SELL,2598.0855352984663,-1,Stop Loss,-12.828953583609628
2024-08-07,LALPATHLAB.NS,SELL,3156.5800660839736,-1,RSI Overbought,-0.378130429518063
2024-08-08,HDFCBANK.NS,SELL,801.1705962949537,-5,Death Cross,-7.714167460136326
2024-08-08,LALPATHLAB.NS,BUY,3240.8440099024697,1,CWH Breakout (Handle: ₹2401.81),
2024-08-12,LALPATHLAB.NS,SELL,3155.0944476897907,-1,RSI Overbought,-2.645902177046142
2024-08-14,RELIANCE.NS,SELL,1452.7972017764512,-3,Death Cross,1.9540213576525598
2024-08-14,HDFCBANK.NS,BUY,792.5372946697383,6,RHS Breakout (Neckline: ₹716.61),
2024-08-16,TCS.NS,BUY,4209.184509850101,1,RHS Breakout (Neckline: ₹3858.70),
2024-08-19,MPHASIS.NS,BUY,2875.541700313176,1,RHS Breakout (Neckline: ₹2627.71),
2024-08-21,TCS.NS,SELL,4371.745577951637,-1,RSI Overbought,3.8620561232495167
2024-08-21,DELHIVERY.NS,SELL,438.45001220703125,-11,RSI Overbought,7.7537524659126
2024-08-22,DELHIVERY.NS,BUY,431.0,11,RHS Breakout (Neckline: ₹422.50),
2024-08-22,LALPATHLAB.NS,BUY,3269.642561229981,1,CWH Breakout (Handle: ₹2401.81),
2024-08-27,COFORGE.NS,BUY,1198.1277153307071,4,CWH Breakout (Handle: ₹1090.22),
2024-08-28,LALPATHLAB.NS,SELL,3328.0696195386267,-1,RSI Overbought,1.7869555223390128
2024-08-30,RELIANCE.NS,BUY,1527.89778785993,3,RHS Breakout (Neckline: ₹1498.11),
2024-08-30,INFY.NS,BUY,1889.5952465616892,2,RHS Breakout (Neckline: ₹1424.24),
2024-08-30,LT.NS,SELL,3683.992060763176,-1,Death Cross,8.893788818385978
2024-09-02,TCS.NS,BUY,4427.86864828261,1,RHS Breakout (Neckline: ₹3858.70),
2024-09-02,INFY.NS,SELL,1894.8117029397854,-2,RSI Overbought,0.27606210311906887
2024-09-02,LT.NS,BUY,3671.7559303082635,1,RHS Breakout (Neckline: ₹3563.93),
2024-09-02,ASIANPAINT.NS,BUY,3113.8840204362355,1,RHS Breakout (Neckline: ₹2907.16),
