date,ticker,action,price,size,reason,pnl_pct,target_pct
2024-06-07,GODREJCP.NS,BUY,1374.7019503584934,4,CWH Breakout,,9.668281122214545
2024-06-07,VGUARD.NS,SELL,392.39865814875157,-14,Target Reached,11.295779434886173,8.901408317190645
2024-06-11,WHIRLPOOL.NS,SELL,1705.311550395624,-3,Target Reached,12.24043407123321,7.353103592392627
2024-06-11,AXISBANK.NS,BUY,1202.4933987545712,4,CWH Breakout,,11.241657157520416
2024-06-11,AVANTIFEED.NS,SELL,619.7561209997215,-10,Target Reached,9.362060344232287,8.586205903247688
2024-06-14,GLAXO.NS,SELL,2670.7753428139426,-2,Target Reached,9.416892655752333,7.631896779075609
2024-06-19,AVANTIFEED.NS,BUY,630.210782512069,9,CWH Breakout,,8.80620970064726
2024-06-25,VGUARD.NS,BUY,417.42634618633787,14,CWH Breakout,,8.731844637407937
2024-07-04,VGUARD.NS,SELL,456.8549205049694,-14,Target Reached,9.445636261068858,8.731844637407937
2024-07-05,VGUARD.NS,BUY,459.8343975311312,12,CWH Breakout,,6.4686749126037375
2024-07-10,BERGEPAINT.NS,BUY,509.20108314922874,11,RHS Breakout,,10.525762442588007
2024-07-25,ICICIPRULI.NS,SELL,689.0867141941225,-8,Target Reached,14.918034119783302,10.465027963426015
2024-07-25,ITC.NS,BUY,473.6586417594569,12,CWH Breakout,,11.140350115278766
2024-07-25,AVANTIFEED.NS,SELL,712.2847313819335,-9,Target Reached,13.023253671210025,8.80620970064726
2024-07-26,ICICIPRULI.NS,BUY,701.8697665922656,8,CWH Breakout,,16.288068634331697
2024-07-29,INFY.NS,SELL,1846.304236848296,-3,Target Reached,30.693873852679044,29.562320126670404
2024-07-30,BATAINDIA.NS,BUY,1596.9521144470766,3,CWH Breakout,,18.913036637118296
2024-07-30,ERIS.NS,SELL,1092.9448461256875,-5,Target Reached,23.499993863817682,21.578641413511942
2024-07-31,ASIANPAINT.NS,BUY,2972.4832868133776,2,CWH Breakout,,21.11807711689275
2024-08-01,MCX.NS,SELL,4305.86109183373,-1,Target Reached,11.430088038318397,9.607237939978424
2024-08-02,INFY.NS,BUY,1796.9680816152534,3,CWH Breakout,,11.586855453706198
2024-08-08,AKZOINDIA.NS,SELL,2989.362505219469,-1,Target Reached,14.020095404737093,11.611297388685594
2024-08-09,AKZOINDIA.NS,BUY,3091.5842122220906,1,CWH Breakout,,5.723814947777082
2024-08-14,VGUARD.NS,SELL,529.9496729780619,-12,Target Reached,15.247940524541532,6.4686749126037375
2024-08-16,MCX.NS,BUY,4357.147105908955,1,CWH Breakout,,16.74943949723611
2024-08-19,NAM-INDIA.NS,SELL,686.7085358813702,-9,Target Reached,26.5623773998594,21.5671042030496
2024-08-19,GLAXO.NS,BUY,2918.3478929179573,2,CWH Breakout,,7.7353405550273076
2024-08-20,CAPLIPOINT.NS,SELL,1808.2668458848555,-3,Target Reached,13.720389553315155,8.7167128840121
2024-08-21,NAM-INDIA.NS,BUY,690.3217973334017,9,Golden Cross,,15.709975719664563
2024-08-21,BERGEPAINT.NS,SELL,554.2800011824535,-11,Target Reached,8.852871591401094,10.525762442588007
2024-08-23,KOTAKBANK.NS,BUY,1819.4023414334843,3,CWH Breakout,,14.667070805790852
2024-08-29,AKZOINDIA.NS,SELL,3283.821406778578,-1,Target Reached,6.218080484319589,5.723814947777082
2024-08-29,LALPATHLAB.NS,SELL,3305.3039182331822,-2,Target Reached,37.46388924901925,38.143009986362024
2024-08-30,AKZOINDIA.NS,BUY,3230.800186837028,1,CWH Breakout,,14.371427850666194
2024-08-30,LALPATHLAB.NS,BUY,3324.9942729691866,1,CWH Breakout,,16.173036975563896
2024-09-02,MCX.NS,SELL,5183.200196400943,-1,Target Reached,18.958577032474622,16.74943949723611
2024-09-02,RADICO.NS,SELL,1979.1297731586903,-3,Target Reached,10.845484018024285,5.500222559615198
2024-09-03,MCX.NS,BUY,5142.55878094713,1,CWH Breakout,,10.371441563187425
2024-09-03,RADICO.NS,BUY,2017.0746934822917,3,CWH Breakout,,7.7099774868233535
2024-09-04,CAPLIPOINT.NS,BUY,1902.337887851553,3,CWH Breakout,,17.38729705193192
2024-09-19,MCX.NS,SELL,5806.523730999029,-1,Target Reached,12.911178623992575,10.371441563187425
2024-09-19,RADICO.NS,SELL,2295.670707428039,-3,Target Reached,13.811883855663131,7.7099774868233535
2024-09-20,BERGEPAINT.NS,BUY,617.8533227683436,10,CWH Breakout,,19.772174098889643
2024-09-20,PIDILITIND.NS,SELL,1603.1219889684546,-3,Target Reached,7.736319052339448,6.892270302493256
2024-09-23,MCX.NS,BUY,5792.875980024401,1,CWH Breakout,,11.783086479593065
2024-09-24,HAVELLS.NS,SELL,2073.7309823161977,-2,Target Reached,10.809839998324003,10.55505043859017
2024-09-24,BANKBEES.NS,SELL,557.0,-10,Target Reached,14.968623548788345,14.577485438042306
2024-10-09,HCLTECH.NS,BUY,1729.8244053046717,3,CWH Breakout,,14.354960456233723
2024-10-10,AKZOINDIA.NS,SELL,4005.9907395898435,-1,Target Reached,23.99376339988799,14.371427850666194
2024-10-15,MCX.NS,SELL,6509.090415558092,-1,Target Reached,12.363710840753656,11.783086479593065
2024-10-16,MCX.NS,BUY,6425.4599185212965,1,CWH Breakout,,9.428222893352341
2024-11-01,AKZOINDIA.NS,BUY,4104.718549651779,1,CWH Breakout,,9.148762759844505
2024-11-26,ERIS.NS,BUY,1488.2504343375947,4,CWH Breakout,,4.700347010761375
2024-11-28,RADICO.NS,BUY,2408.607034477581,2,CWH Breakout,,8.676592052857323
2024-12-04,CAPLIPOINT.NS,SELL,2306.0960509234637,-3,Target Reached,21.22431381145985,17.38729705193192
